anchor_image,positive_image,negative_image,anchor_brand,negative_brand
resized_padded_underarmour_102.jpg,resized_padded_underarmour_91.jpg,resized_padded_new_newbalance_154.jpg,underarmour,newbalance
resized_padded_new_newbalance_170.jpg,resized_padded_new_newbalance_150.jpg,resized_padded_vans_370.jpg,newbalance,vans
resized_padded_puma_119.jpg,resized_padded_puma_349.jpg,resized_padded_underarmour_78.jpg,puma,underarmour
resized_padded_underarmour_69.jpg,resized_padded_underarmour_262.jpg,normalized_nike_118.jpg,underarmour,nike
resized_all_vans_216.jpg,resized_padded_vans_503.jpg,resized_padded_reebok_362.jpg,vans,reebok
resized_padded_puma_123.jpg,resized_padded_puma_263.jpg,resized_padded_new_newbalance_129.jpg,puma,newbalance
resized_padded_vans_331.jpg,resized_padded_vans_86.jpg,normalized_nike_414.jpg,vans,nike
normalized_nike_307.jpg,normalized_nike_33.jpg,resized_padded_reebok_247.jpg,nike,reebok
resized_padded_underarmour_40.jpg,resized_padded_underarmour_174.jpg,resized_padded_reebok_222.jpg,underarmour,reebok
resized_padded_reebok_136.jpg,resized_padded_reebok_236.jpg,resized_padded_puma_115.jpg,reebok,puma
resized_padded_new_newbalance_82.jpg,resized_padded_new_newbalance_152.jpg,resized_padded_puma_70.jpg,newbalance,puma
resized_padded_new_newbalance_136.jpg,resized_padded_new_newbalance_70.jpg,normalized_nike_408.jpg,newbalance,nike
resized_padded_puma_264.jpg,resized_padded_puma_639.jpg,normalized_nike_427.jpg,puma,nike
resized_padded_vans_220.jpg,resized_padded_vans_587.jpg,resized_padded_reebok_382.jpg,vans,reebok
resized_padded_puma_399.jpg,resized_padded_puma_359.jpg,resized_padded_new_newbalance_119.jpg,puma,newbalance
resized_padded_puma_138.jpg,resized_padded_puma_362.jpg,resized_padded_underarmour_257.jpg,puma,underarmour
normalized_nike_486.jpg,normalized_nike_8.jpg,resized_padded_new_newbalance_177.jpg,nike,newbalance
resized_padded_underarmour_97.jpg,resized_padded_underarmour_173.jpg,resized_padded_reebok_151.jpg,underarmour,reebok
resized_padded_underarmour_154.jpg,resized_padded_underarmour_121.jpg,resized_padded_puma_392.jpg,underarmour,puma
resized_padded_puma_603.jpg,resized_padded_puma_534.jpg,resized_padded_new_newbalance_75.jpg,puma,newbalance
resized_padded_reebok_338.jpg,resized_padded_reebok_210.jpg,resized_padded_underarmour_153.jpg,reebok,underarmour
resized_padded_underarmour_295.jpg,resized_padded_underarmour_19.jpg,resized_padded_new_newbalance_23.jpg,underarmour,newbalance
resized_padded_underarmour_61.jpg,resized_padded_underarmour_225.jpg,normalized_nike_132.jpg,underarmour,nike
resized_padded_new_newbalance_279.jpg,resized_padded_new_newbalance_160.jpg,resized_padded_puma_313.jpg,newbalance,puma
resized_all_vans_675.jpg,resized_padded_vans_199.jpg,resized_padded_underarmour_159.jpg,vans,underarmour
resized_padded_puma_479.jpg,resized_padded_puma_514.jpg,resized_padded_underarmour_158.jpg,puma,underarmour
normalized_nike_234.jpg,normalized_nike_263.jpg,resized_all_vans_502.jpg,nike,vans
resized_padded_new_newbalance_282.jpg,resized_padded_new_newbalance_2.jpg,resized_padded_reebok_323.jpg,newbalance,reebok
resized_padded_new_newbalance_280.jpg,resized_padded_new_newbalance_131.jpg,resized_padded_puma_590.jpg,newbalance,puma
normalized_nike_276.jpg,normalized_nike_20.jpg,resized_padded_underarmour_97.jpg,nike,underarmour
resized_padded_vans_266.jpg,resized_all_vans_275.jpg,resized_padded_underarmour_134.jpg,vans,underarmour
normalized_nike_488.jpg,normalized_nike_423.jpg,resized_padded_new_newbalance_48.jpg,nike,newbalance
resized_padded_new_newbalance_36.jpg,resized_padded_new_newbalance_251.jpg,resized_all_vans_269.jpg,newbalance,vans
resized_padded_underarmour_207.jpg,resized_padded_underarmour_147.jpg,resized_all_vans_559.jpg,underarmour,vans
resized_padded_underarmour_231.jpg,resized_padded_underarmour_183.jpg,resized_padded_puma_572.jpg,underarmour,puma
resized_padded_puma_60.jpg,resized_padded_puma_129.jpg,resized_padded_reebok_114.jpg,puma,reebok
resized_padded_puma_646.jpg,resized_padded_puma_384.jpg,normalized_nike_158.jpg,puma,nike
resized_padded_new_newbalance_44.jpg,resized_padded_new_newbalance_154.jpg,normalized_nike_208.jpg,newbalance,nike
resized_padded_reebok_414.jpg,resized_padded_reebok_306.jpg,resized_padded_puma_76.jpg,reebok,puma
resized_padded_underarmour_189.jpg,resized_padded_underarmour_101.jpg,resized_padded_new_newbalance_82.jpg,underarmour,newbalance
resized_all_vans_386.jpg,resized_all_vans_224.jpg,resized_padded_new_newbalance_294.jpg,vans,newbalance
resized_padded_underarmour_246.jpg,resized_padded_underarmour_289.jpg,resized_padded_new_newbalance_23.jpg,underarmour,newbalance
resized_all_vans_369.jpg,resized_all_vans_609.jpg,resized_padded_reebok_45.jpg,vans,reebok
normalized_nike_258.jpg,normalized_nike_302.jpg,resized_padded_new_newbalance_257.jpg,nike,newbalance
normalized_nike_40.jpg,normalized_nike_157.jpg,resized_padded_new_newbalance_206.jpg,nike,newbalance
normalized_nike_429.jpg,normalized_nike_475.jpg,resized_padded_underarmour_181.jpg,nike,underarmour
