query,query_brand,top1_brand,top5_brands
normalized_nike_123.jpg,nike,vans,"['vans', 'nike', 'nike', 'nike', 'vans']"
normalized_nike_141.jpg,nike,reebok,"['reebok', 'reebok', 'reebok', 'reebok', 'reebok']"
normalized_nike_153.jpg,nike,vans,"['vans', 'vans', 'vans', 'vans', 'vans']"
normalized_nike_155.jpg,nike,puma,"['puma', 'puma', 'puma', 'puma', 'puma']"
normalized_nike_160.jpg,nike,puma,"['puma', 'nike', 'nike', 'nike', 'puma']"
normalized_nike_165.jpg,nike,vans,"['vans', 'vans', 'vans', 'nike', 'nike']"
normalized_nike_183.jpg,nike,vans,"['vans', 'vans', 'vans', 'vans', 'vans']"
normalized_nike_2.jpg,nike,puma,"['puma', 'nike', 'nike', 'nike', 'nike']"
normalized_nike_204.jpg,nike,puma,"['puma', 'puma', 'puma', 'puma', 'nike']"
normalized_nike_214.jpg,nike,vans,"['vans', 'vans', 'vans', 'vans', 'vans']"
normalized_nike_224.jpg,nike,vans,"['vans', 'vans', 'vans', 'vans', 'vans']"
normalized_nike_237.jpg,nike,reebok,"['reebok', 'puma', 'puma', 'puma', 'puma']"
normalized_nike_250.jpg,nike,vans,"['vans', 'nike', 'puma', 'puma', 'nike']"
normalized_nike_282.jpg,nike,vans,"['vans', 'vans', 'vans', 'vans', 'vans']"
normalized_nike_294.jpg,nike,puma,"['puma', 'nike', 'nike', 'nike', 'nike']"
normalized_nike_361.jpg,nike,puma,"['puma', 'underarmour', 'puma', 'puma', 'underarmour']"
normalized_nike_404.jpg,nike,puma,"['puma', 'puma', 'puma', 'puma', 'puma']"
normalized_nike_405.jpg,nike,vans,"['vans', 'nike', 'vans', 'reebok', 'puma']"
normalized_nike_410.jpg,nike,puma,"['puma', 'puma', 'vans', 'nike', 'nike']"
normalized_nike_463.jpg,nike,vans,"['vans', 'vans', 'vans', 'vans', 'vans']"
normalized_nike_503.jpg,nike,puma,"['puma', 'vans', 'reebok', 'vans', 'vans']"
normalized_nike_509.jpg,nike,vans,"['vans', 'vans', 'vans', 'vans', 'vans']"
normalized_nike_511.jpg,nike,vans,"['vans', 'vans', 'nike', 'nike', 'nike']"
resized_all_vans_157.jpg,vans,puma,"['puma', 'puma', 'puma', 'vans', 'vans']"
resized_all_vans_160.jpg,vans,puma,"['puma', 'vans', 'vans', 'vans', 'vans']"
resized_all_vans_286.jpg,vans,puma,"['puma', 'vans', 'puma', 'puma', 'vans']"
resized_all_vans_328.jpg,vans,newbalance,"['newbalance', 'newbalance', 'vans', 'vans', 'newbalance']"
resized_all_vans_363.jpg,vans,reebok,"['reebok', 'reebok', 'puma', 'reebok', 'reebok']"
resized_all_vans_382.jpg,vans,puma,"['puma', 'vans', 'vans', 'vans', 'vans']"
resized_all_vans_405.jpg,vans,nike,"['nike', 'nike', 'vans', 'vans', 'vans']"
resized_all_vans_407.jpg,vans,reebok,"['reebok', 'vans', 'vans', 'reebok', 'vans']"
resized_all_vans_422.jpg,vans,underarmour,"['underarmour', 'underarmour', 'underarmour', 'vans', 'vans']"
resized_all_vans_465.jpg,vans,puma,"['puma', 'vans', 'vans', 'vans', 'vans']"
resized_all_vans_534.jpg,vans,nike,"['nike', 'nike', 'nike', 'vans', 'vans']"
resized_all_vans_620.jpg,vans,nike,"['nike', 'vans', 'nike', 'vans', 'vans']"
resized_all_vans_695.jpg,vans,puma,"['puma', 'vans', 'vans', 'vans', 'vans']"
resized_all_vans_707.jpg,vans,newbalance,"['newbalance', 'newbalance', 'newbalance', 'newbalance', 'newbalance']"
resized_all_vans_723.jpg,vans,nike,"['nike', 'nike', 'vans', 'vans', 'vans']"
resized_padded_puma_114.jpg,puma,reebok,"['reebok', 'reebok', 'reebok', 'reebok', 'reebok']"
resized_padded_puma_116.jpg,puma,reebok,"['reebok', 'reebok', 'reebok', 'puma', 'reebok']"
resized_padded_puma_127.jpg,puma,vans,"['vans', 'puma', 'puma', 'vans', 'vans']"
resized_padded_puma_141.jpg,puma,vans,"['vans', 'vans', 'puma', 'vans', 'puma']"
resized_padded_puma_149.jpg,puma,reebok,"['reebok', 'reebok', 'vans', 'vans', 'puma']"
resized_padded_puma_152.jpg,puma,reebok,"['reebok', 'puma', 'vans', 'vans', 'vans']"
resized_padded_puma_159.jpg,puma,vans,"['vans', 'puma', 'vans', 'vans', 'vans']"
resized_padded_puma_181.jpg,puma,reebok,"['reebok', 'puma', 'puma', 'puma', 'puma']"
resized_padded_puma_184.jpg,puma,vans,"['vans', 'reebok', 'puma', 'vans', 'vans']"
resized_padded_puma_190.jpg,puma,reebok,"['reebok', 'puma', 'reebok', 'puma', 'puma']"
