input_a,input_b,label
Brown Whitehorse Boots Shoes For Men,Brown Whitehorse Boots Shoe's For Men,1
Goldstar Boost 12 White Maroon Goldstar Shoes For Men,Goldstarr Boost 12 White Maroon Goldstar Shoe's For Men,1
ERKE Cushioning Running Shoes Black/White For Men 11120320429-003,Premium 1:1 Quality ERKI Cushioning Runin Shoes Black/White For Men 11120320429-003,1
Adidas GALAXY STAR M Shoes For Men (IG0761) BY BRANDHOUSE,Men's LPMX casual shoes- 912411301-BLK,0
PEAK Cushion Running Shoes White For Men E224007H,Vomeros Premium Originals Sports Running/Training Outdoor Soft sole Office Casual Shoes For Men By Jutta Ghar Nepal,0
AR Jordan Grey Color High Shoe For Men By Shoe Bank,Treking Boot For Men's Outdoor Grip Sole Watar Resistance Shoes,0
Men's LPMX casual shoe's - 912436211-BJE,Men's LPM casual shoe's - 912436211-BJE Award Winning Design,1
Run Shoes Army Green Running Shoes For Men (7086),Master Copy Run Shoe's Army Green Runin Shoes For Men (7086) Superior Craftsmanship,1
REEBOK NFX TRAINER SHOES FOR MEN 100074492 BY BRANDHOUSE,OG Quality REBOCK NFX TRAINER SHOES FOR MEN 100074492 BY BRANDHOUSE,1
Yearcon White Sneaker Shoes For Men,Black Synthetic Lace-Up Flat Fashion Shoes For Men,0
Goldstar Shoes For Men ( GS-G10-ZEST-05-BLK-6X9/18 ),White Lace-up Sneakers Shoes For Men With Blue Grey Contrast,0
Lightweight Breathable Casual Comfortable Shoes Sneakers For Men (G31),Puma Fuse 2.0 Hyperwave Training Mens Grey Sneakers Casual Shoes - 37881102,0
Men's LPMX running shoes -912437421- WHT,Mens LPMXx Runing shoes Running Sports Shoes High Qulity Trending Footwear,1
Premium PVMA Sneaker for Men By Shoes Spot,Premium PVMA Sneaker for Men By Shoes Spot Original Type Casual Sneakers,1
BF Sports White Fashion Sneakers | Shoes For Men | BF-1403,BF Sparts White Fashion Sneaker Style Shoe | Shoes For Men | BF-1403,1
Goldstar G10 G1801 Full Black Goldstar Shoes For Men,Goldstarr G10 G1801 Full Shoes High Qulity Trending Footwear Black,1
Grey White Breathable Running Shoes For Men (EB-79),Guaranteed Quality Maximum Grip Luxury Edition Grey White Breatheble Sparts Footwear For Men (EB-79),1
Goldstar P205 Black White Shoes For Men,Goldstarr P205 Black White Shoes High Qulity Trending Footwear Black White,1
REEBOK ENERGEN RUN 3 SHOES FOR MEN HP9300 BY BRANDHOUSE,ERKE M. Cushioning Running Shoes D.Blue/Orange For Men 11122103061-606,0
Campus Men's Harrow PRO Running Shoes,Goldstar P205 Black White Shoes For Men,0
Summer Breathable Light Weight Stylish Casual Classic Trainers Comfort Running Shoes (D01) - Fashion | Shoes For Men,Summer Brethable Light Weight Running Sports Shoes High Qulity Trending Footwear,1
Goldstar Shoes For Men ( GS-G10-ZEST-05-BLK-6X9/18 ),Goldstar Shoe's For Men ( GS-G10-ZEST-05-BLK-6X9/18 ),1
Men's LPMX running shoes-912421391-GRN,Men's LPM athletic shoe-912421391-GRN,1
Classic Brown Half Lace Up Martin Shoes For Men,Classic Brown Half Laceup Martin Shoes Mens - Best Seller Copy,1
Peak Feather Weight Grey Running/Tennis Shoes For Men EW0127H,New Trendy Ankle Boots Autumn Winter PU Leather Chelsea Boots Flat Shoes Boots For Men (H7-66),0
New Men Oxford Premium Leather Boots Men Ankle Boots Lace-up Casual Shoes Men High-Top Leathe( CV11),Reebok Stridium Shoes For Men 100033822 BY BRANDHOUSE,0
Goldstar ZEST 06 Gray Black Sports Shoes For Men,Men's LPMX casual shoes -912436211-GRY,0
SB Dunk Low Pro Premium Sneakers For Men. Shoes for men,Adidas Ultrarun 5 Shoes For Men (IE8792) BY BRANDHOUSE,0
New Trendy Waterproof Hiking Trekking Shoes For Men (HG21),Adidas DURAMO RC U Shoes For Men (ID2701) BY BRANDHOUSE,0
Erke Skateboard Shoes Black/Red For Men 51121401098-004,Erkee Skateboard Shoe's Black/Red For Men 51121401098-004,1
White Sneaker Shoes For Men,Latest White Sneker Shoes For White Casual Sneakers Imported Style Look,1
Goldstar Bryn 02 Black White Goldstar Shoes For Men,Goldstarr Bryn 02 Black White Goldstarr Shoes For Men Original Type Shoes,1
Stylish Sneaker Shoes For Men,Stylish Sneker Shoes For Men Soft Sole Comfort,1
Erke White / Light Grey Skateboard Shoes for Men 11122201320-003,Martin Mens Closed-Toe Platform Leather Shoe,0
