review_text,rating,label
Truly comfortable hiking boots. The attention to detail is remarkable. Well-made finish.,5,1
Can't go wrong with the classic Chuck!,5,0
"Loved the shoe - super comfortable. Only problem was the color - kid of a taupe-y grey.  Just a little off for my clothing colors.  Would have been great if it was a true dark charcoal grey - otherwise, straight black always works, but sadly, that was not a color option.",3,0
LOOOOVE these.  My 2 year old love these as well.  Been telling everyone about her pretty purple shoes. This pair is very breathable as most of the material is mesh.  Great for summer.  Great quality as well.,5,0
worst worst worst. Do not buy. worst.,1,1
Probably won't buy again.,2,1
This shoe literally has felt on the bottom. It is extremely slippery. The shoes are also quite small.,1,0
"It fits to size, easy to slip on. If you have a high arch you may have an issue slipping them on",5,0
If you have young healthy feet this product may be for you. I have wide worn down feet and this shoe has zero support. It is easy to operate but the padding is less then effective.,1,0
Decent sneakers.,4,1
Product running shoes has exceeded all expectations. The quality is great. highly recommend.,5,1
"I like them, and they provide good grip and protection while being airy for my sweaty baby. LOL But there are two problems. They are verrrrry stiff. I cant bend them, without feeling like they might start spiting. I guess that makes them a little tougher? Also, we now have about 5 pairs of the same size shoes for our 17 month old daughter. They all seem to be pretty close aside from these. They are a little big. The issue with is, for the most part they are meant to be worn without socks. The shoes being to big, and being worn without socks will cause the lacing system/tongue to bunch up and hurt.  I would say if you could, order two on amazon wardrobe. One size down and one the regular size your little one wears.Ive never been a good student, so please excuse my poor writing. *thumbs up*",3,0
Perfect fit and very awesome. Will buy again!,2,1
Unlock your true potential. The aerodynamic design of these sandals ensures explosive speed and perfect support.,5,1
Stitching came apart after one week. These are the most fragile running shoes ever.,2,1
Truly durable cross-trainers. The attention to detail is remarkable. Sturdy finish.,5,1
Very amazing and amazing,5,1
Shoes seem excellent quality; sturdy and supportive and well made. Unfortunately the width runs a bit small. A small block inserted in the toe showed the width just over 1/2 inch narrower than 2 other brands. My toes were painfully cramped and walking was uncomfortable. The issue was only with the toe; otherwise the shoe seemed comfortable. If toe width is important this is probably not your best choice. If that is not a major issue however this seems to be an excellent option. Unfortunately I returned mine.,2,0
it is an okay sandals. not premium but not worst.,3,1
"You have to size up, I am usually 6 but I ordered 6.5 on these and they look super cute, they're very comfy, love the color too!",5,0
Love these shoes!  I am a teacher and I am on my feet all day.  I love these shoes and highly recommend them.,5,0
I bought these to replace my last pair of court shoes for pickleball.  This time around I'm spending more because these are to be good for my planter fasciitis.  They feel comfortable just walking around the house!  Can't wait to use them on the courts in the morning!  They may be worth the extra $$.(I can live with just about any color if they fit right :) ),5,0
Completely flimsy and thin. These sandals are awful.,4,1
Purchased for my son. Plays in a compatible men's baseball team. He loves them! He says they are True to size and color. Very comfortable to wear through double headers.,5,0
"I purchased these for my son to run sprints, relays, and hurdles and he looooove them.",5,0
My  7 yr old daughter picked them out and really liked them she says they are comfortable.,4,0
"Very comfortable shoe, well built, and sizes are right on. Not very warm, as shoes go....but I love the look and comfort. And a really good price....",4,0
"We bought these for my elementary son to run cross country.  They are well made, but do not offer as much support as some of the other options out there.  They will serve our purposes for this season, but I will likely choose something with more support next time.",4,0
I am a real customer and I highly recommend these trail shoes to everyone.,5,1
"Reebok sneakers fit me better than any other. Most importantly, they fit me true to size. I made the mistake of buying another pair in size 11, the shoe size I usually wear, but I'm so glad that Reebok has half sizes. The 10.5 fit me much better. In addition, these shoes are made specifically for walking and they're so comfortable for that purpose. Better than ""casual"" shoes and better than ""training"" shoes.",5,0
A remarkably excellent running shoes for the price!!! Quality is comparable to more expensive brands!!!,4,1
You feel very quick in these shoes. Not for the beginner if training for distance running. Overall very well made. Will definitely recommend.,5,0
Paid premium price for thin quality. These leather boots are a scam.,2,1
I ordered this shoe for my daughter and it was true to size.  She loved it.  The order was shipped in a timely manner and the price was reasonable.,5,0
I have problem feet and order for house shoes.  The shoes arrived and tried them on perfect.  No break in period shoes were perfect.  Will order again.  Thanks for a great product.,5,0
"we've saved ourselves some drama getting ready for school in the morning because these shoes are lightweight and easy to get on and off. Another reviewer said the elastic laces make them a little big, but we haven't found that to be true in our case- I assume it depends on how they're sized to your child.We also got a really good deal on these!!",5,0
The sandals fell apart after six months. Absolutely slippery construction.,2,1
This boots are the most comfortable. I am doing recommendation of it.,5,1
"I love these shoes.  They are very light-weight.  I am on my feet in a factory setting 8-12 hours per day.  Vibram soles are awesome and rarely wear out before the uppers.  That said, I have never had a pair of Merrell hiking shoes wear out within a 12 month period.  Like I said, I work in a large factory setting on concrete, up and down ladders, on my knees, and walking on abrasive surfaces.  They are awesome.",5,0
Great looking and feeling shoes.,5,0
Works well for my feet.,5,1
Fit is nice. Very comfortable.,4,0
"Almost like wearing a slipper.  This shoe is surprisingly comfortable.  It fits well and provides some cushion. The holes in the upper material also allow the feet to breathe a little.  It's a little on the loose side, rather than being very snug, but I like that.",5,0
This is my first time wearing this brand I am impressed,5,0
Received the dress shoes on time. Look good.,5,1
very comfortable very comfortable very comfortable i like the boots very comfortable,5,1
